                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
OAK-MOR-001160                         2619663                      0                      0                   124                         0              2619539
OAK-MOR-001161                         4093740                      0                      0                   221                         0              4093519
OAK-MOR-001162                         3525358                      0                      0                   206                         0              3525152
OAK-MOR-001163                         2285229                      0                      0                   132                         0              2285097
OAK-MOR-001165                         2430178                      0                      0                   136                         0              2430042
OAK-MOR-001166                         2888593                      0                      0                   166                         0              2888427
OAK-MOR-001167                         3703703                      0                      0                   229                         0              3703474
OAK-MOR-001170                         3887833                      0                      0                   241                         0              3887592
OAK-MOR-001171                         5758037                      0                      0                   319                         0              5757718
OAK-MOR-001172                         3963986                      0                      0                   212                         0              3963774
OAK-MOR-001173                         3622402                      0                      0                   219                         0              3622183
OAK-MOR-001174                         2310307                      0                      0                   147                         0              2310160
OAK-MOR-001175                         2149416                      0                      0                   115                         0              2149301
OAK-MOR-001176                         3386776                      0                      0                   223                         0              3386553
OAK-MOR-001177                         2915331                      0                      0                   141                         0              2915190
OAK-MOR-001178                         4906000                      0                      0                   293                         0              4905707
OAK-MOR-001179                         3435809                      0                      0                   224                         0              3435585
OAK-MOR-001180                         3198942                      0                      0                   162                         0              3198780
OAK-MOR-001181                         3630294                      0                      0                   201                         0              3630093
OAK-MOR-001182                         2340090                      0                      0                   123                         0              2339967
OAK-MOR-001183                         3125935                      0                      0                   177                         0              3125758
OAK-MOR-001184                         4176327                      0                      0                   211                         0              4176116
OAK-MOR-001185                         3919250                      0                      0                   231                         0              3919019
OAK-MOR-001186                         3793615                      0                      0                   200                         0              3793415
OAK-MOR-001191                         3134073                      0                      0                   175                         0              3133898
OAK-MOR-001192                         2022562                      0                      0                   106                         0              2022456
OAK-MOR-001193                         2769558                      0                      0                   167                         0              2769391
OAK-MOR-001194                         2243179                      0                      0                   136                         0              2243043
OAK-MOR-001195                         3977451                      0                      0                   217                         0              3977234
OAK-MOR-001196                         2171030                      0                      0                   126                         0              2170904
OAK-MOR-001197                         1757693                      0                      0                   113                         0              1757580
OAK-MOR-001198                         3631978                      0                      0                   194                         0              3631784
OAK-MOR-001199                         4791969                      0                      0                   259                         0              4791710
OAK-MOR-001200                         4699698                      0                      0                   301                         0              4699397
OAK-MOR-001202                         2938990                      0                      0                   169                         0              2938821
OAK-MOR-001203                         6167684                      0                      0                   356                         0              6167328
OAK-MOR-001204                         3865892                      0                      0                   222                         0              3865670
OAK-MOR-001205                         6924569                      0                      0                   400                         0              6924169
OAK-MOR-001206                         2526727                      0                      0                   140                         0              2526587
OAK-MOR-001207                         3564843                      0                      0                   178                         0              3564665
OAK-MOR-001208                         3860999                      0                      0                   212                         0              3860787
OAK-MOR-001209                         3265601                      0                      0                   204                         0              3265397
OAK-MOR-001210                         4154433                      0                      0                   214                         0              4154219
OAK-MOR-001211                         4011313                      0                      0                   215                         0              4011098
OAK-MOR-001212                         4129713                      0                      0                   223                         0              4129490
OAK-MOR-001213                         4841916                      0                      0                   272                         0              4841644
OAK-MOR-001214                         4682513                      0                      0                   268                         0              4682245
OAK-MOR-001215                         4350798                      0                      0                   277                         0              4350521
OAK-MOR-001218                         2994753                      0                      0                   191                         0              2994562
OAK-MOR-001219                         1986758                      0                      0                   105                         0              1986653
OAK-MOR-1040                            814678                      0                      0                  2232                       369               812077
OAK-MOR-1041                           1414528                      0                      0                  3805                       614              1410109
OAK-MOR-1042                            828556                      0                      0                  2245                       342               825969
OAK-MOR-1046                           1308181                      0                      0                  3612                       637              1303932
OAK-MOR-1047                           1398809                      0                      0                  3680                       627              1394502
OAK-MOR-1049                            923432                      0                      0                  2451                       397               920584
OAK-MOR-1054                           1242723                      0                      0                  3186                       531              1239006
OAK-MOR-1055                           1353538                      0                      0                  3666                       602              1349270
OAK-MOR-1057                           1051853                      0                      0                  2789                       473              1048591
OAK-MOR-1058                           1278274                      0                      0                  3602                       598              1274074
OAK-MOR-1059                           1933018                      0                      0                  4291                         0              1928727
OAK-MOR-1060                           1160524                      0                      0                  3173                       524              1156827
