                                     hetero_est  error_est
OAK-MOR-606.nameFixed                  0.012505   0.001353
OAK-MOR-608.nameFixed                  0.011656   0.001382
OAK-MOR-609.nameFixed                  0.012796   0.001401
OAK-MOR-611.fq.barcodeStripped         0.015395   0.001760
OAK-MOR-614.fq.barcodeStripped         0.016689   0.001823
OAK-MOR-615.fq.barcodeStripped         0.016142   0.002051
OAK-MOR-616.fq.barcodeStripped         0.020288   0.001899
OAK-MOR-617.nameFixed                  0.014225   0.001467
OAK-MOR-618.nameFixed                  0.012190   0.001414
OAK-MOR-620                            0.017073   0.003425
OAK-MOR-621.nameFixed                  0.012492   0.001396
OAK-MOR-622.nameFixed                  0.011999   0.001391
OAK-MOR-623.fq.barcodeStripped         0.011753   0.001432
OAK-MOR-624.fq.barcodeStripped         0.010036   0.001344
OAK-MOR-625.fq.barcodeStripped         0.010518   0.001170
OAK-MOR-626.fq.barcodeStripped         0.010314   0.001430
OAK-MOR-627.fq.barcodeStripped         0.019815   0.003186
OAK-MOR-628.fq.barcodeStripped         0.016258   0.002149
OAK-MOR-632.fq.barcodeStripped         0.013662   0.001495
OAK-MOR-639.fq.barcodeStripped         0.013826   0.001277
OAK-MOR-646.nameFixed                  0.012050   0.001421
OAK-MOR-648.nameFixed                  0.013745   0.001403
OAK-MOR-649.fq.barcodeStripped         0.016141   0.002218
OAK-MOR-650.fq.barcodeStripped         0.014040   0.001469
OAK-MOR-651.nameFixed                  0.011967   0.001316
OAK-MOR-652.nameFixed                  0.012480   0.001585
OAK-MOR-653.nameFixed                  0.011570   0.001327
OAK-MOR-658.fq.barcodeStripped         0.015321   0.001910
OAK-MOR-659.fq.barcodeStripped         0.017897   0.002003
OAK-MOR-660.fq.barcodeStripped         0.017658   0.002143
OAK-MOR-662.fq.barcodeStripped         0.015516   0.001879
OAK-MOR-663.fq.barcodeStripped         0.018223   0.002255
OAK-MOR-671.fq.barcodeStripped         0.015994   0.002037
OAK-MOR-672.fq.barcodeStripped         0.016174   0.001689
OAK-MOR-673.fq.barcodeStripped         0.016221   0.002083
OAK-MOR-674.fq.barcodeStripped         0.019860   0.002668
OAK-MOR-68.fq.barcodeStripped          0.012007   0.001268
OAK-MOR-683.fq.barcodeStripped         0.010816   0.001230
OAK-MOR-685.fq.barcodeStripped         0.013508   0.001540
OAK-MOR-686.fq.barcodeStripped         0.012241   0.001204
OAK-MOR-687.fq.barcodeStripped         0.012927   0.001231
OAK-MOR-689.fq.barcodeStripped         0.011832   0.001221
OAK-MOR-690.fq.barcodeStripped         0.014721   0.002087
OAK-MOR-692.fq.barcodeStripped         0.012077   0.001427
OAK-MOR-693.fq.barcodeStripped         0.012791   0.001464
OAK-MOR-694.fq.barcodeStripped         0.013240   0.001482
OAK-MOR-696.fq.barcodeStripped         0.013602   0.001237
OAK-MOR-697.fq.barcodeStripped         0.014629   0.001873
OAK-MOR-698.fq.barcodeStripped         0.013322   0.001402
OAK-MOR-699.fq.barcodeStripped         0.012658   0.001187
OAK-MOR-700.fq.barcodeStripped         0.013061   0.001411
OAK-MOR-701.fq.barcodeStripped         0.014402   0.001428
OAK-MOR-707.fq.barcodeStripped         0.017270   0.001943
OAK-MOR-708.fq.barcodeStripped         0.013258   0.001835
OAK-MOR-709.fq.barcodeStripped         0.017284   0.001920
OAK-MOR-711.fq.barcodeStripped         0.014166   0.001951
OAK-MOR-713.fq.barcodeStripped         0.014087   0.001869
OAK-MOR-715.nameFixed                  0.012275   0.001353
OAK-MOR-716.fq.barcodeStripped         0.017288   0.001905
OAK-MOR-718.fq.barcodeStripped         0.016208   0.001879
OAK-MOR-723.fq.barcodeStripped         0.015695   0.001839
OAK-MOR-725.nameFixed                  0.012777   0.001439
OAK-MOR-727.fq.barcodeStripped         0.016458   0.002042
OAK-MOR-728.fq.barcodeStripped         0.015706   0.002208
OAK-MOR-729.fq.barcodeStripped         0.015303   0.002005
OAK-MOR-735.fq.barcodeStripped         0.016191   0.001749
OAK-MOR-736.fq.barcodeStripped         0.015410   0.002880
OAK-MOR-76.fq.barcodeStripped          0.014270   0.001338
OAK-MOR-892                            0.013072   0.002368
OAK-MOR-893                            0.015065   0.002586
OAK-MOR-894                            0.012415   0.002411
OAK-MOR-895                            0.013731   0.002478
OAK-MOR-896                            0.012412   0.002288
OAK-MOR-897                            0.014928   0.002558
OAK-MOR-898                            0.013133   0.002476
OAK-MOR-899                            0.016151   0.002705
OAK-MOR-90.fq.barcodeStripped          0.012739   0.001384
OAK-MOR-900                            0.015156   0.002757
OAK-MOR-901                            0.013493   0.002404
OAK-MOR-902                            0.015215   0.002615
OAK-MOR-903                            0.013273   0.002483
OAK-MOR-904                            0.014579   0.002658
OAK-MOR-907                            0.012516   0.002433
OAK-MOR-908                            0.012124   0.002443
OAK-MOR-909                            0.013818   0.002625
OAK-MOR-910                            0.012365   0.002399
OAK-MOR-911                            0.012264   0.002319
OAK-MOR-912                            0.012155   0.002557
OAK-MOR-913                            0.013548   0.002477
OAK-MOR-914                            0.013322   0.002498
OAK-MOR-915                            0.014929   0.002527
OAK-MOR-916                            0.012918   0.002437
OAK-MOR-917                            0.014022   0.002428
OAK-MOR-918                            0.013734   0.002538
OAK-MOR-919                            0.013908   0.002502
OAK-MOR-920                            0.015246   0.002755
OAK-MOR-921                            0.015172   0.002654
OAK-MOR-922                            0.015273   0.002752
OAK-MOR-923                            0.014692   0.002707
OAK-MOR-924                            0.014042   0.002439
OAK-MOR-926                            0.013285   0.002468
OAK-MOR-927                            0.013123   0.002340
OAK-MOR-928                            0.013068   0.002377
OAK-MOR-929                            0.014860   0.002539
OAK-MOR-930                            0.015072   0.002593
OAK-MOR-931                            0.014626   0.002594
OAK-MOR-932                            0.012793   0.002488
OAK-MOR-933                            0.015077   0.002693
OAK-MOR-934                            0.015137   0.002605
OAK-MOR-935                            0.012728   0.002521
OAK-MOR-936                            0.015314   0.002606
OAK-MOR-937                            0.012627   0.002459
OAK-MOR-938                            0.012770   0.002369
OAK-MOR-939                            0.012791   0.002385
OAK-MOR-940                            0.012912   0.002423
OAK-MOR-941                            0.016242   0.002760
OAK-MOR-942                            0.012907   0.002457
OAK-MOR-943                            0.014961   0.002706
OAK-MOR-944                            0.012493   0.002417
OAK-MOR-946                            0.012295   0.002454
OAK-MOR-947                            0.014607   0.002689
OAK-MOR-951                            0.014828   0.002612
OAK-MOR-955                            0.015108   0.002999
OAK-MOR-959                            0.012150   0.002332
OAK-MOR-960                            0.013124   0.002408
OAK-MOR-971                            0.012606   0.002482
OAK-MOR-974                            0.014712   0.002749
OAK-MOR-975                            0.015437   0.002657
OAK-MOR-977                            0.015965   0.002919
OAK-MOR-978                            0.014928   0.002650
OAK-MOR-979                            0.014386   0.002954
OAK-MOR-980                            0.013468   0.002498
OAK-MOR-981                            0.014030   0.002511
OAK-MOR-982                            0.015469   0.002434
OAK-MOR-983                            0.015384   0.002577
OAK-MOR-985                            0.012419   0.002729
OAK-MOR-986                            0.014318   0.002440
OAK-MOR-987                            0.012973   0.002440
OAK-MOR-988                            0.015283   0.002583
OAK-MOR-989                            0.012427   0.002410
