1		
Quercus_infectoria|NA|NA|1976.099|QUE001510	Roburoids	1
Quercus_cedrorum|Lebanon|Zgharta|TUS-5-5_JS|QUE001563	Roburoids	1
Quercus_kotschyana|Lebanon|Metn|TUS-2-4_JS|QUE001560	Roburoids	1
Quercus_pubescens|Italy|Latium|TUS13-005|QUE001986	Roburoids	1
Quercus_vulcanica|Turkey|Isparta|2002.078|QUE001508	Roburoids	1
Quercus_faginea|Israel|NA|s.n.|QUE000993	Roburoids	1
Quercus_macranthera|Georgia|Trialeti|TUS-MC16_JE|QUE001599	Roburoids	1
Quercus_frainetto|Hungary|NA|2006.028|QUE001509	Roburoids	1
Quercus_dalechampii|Hungary|Tokaj|IL-SH-45|QUE000658	Roburoids	1
Quercus_lusitanica|Portugal|NA|2000.044|QUE001506	Roburoids	1
Quercus_petraea|NA|NA|1982.0337|QUE001513	Roburoids	1
Quercus_pyrenaica|Spain|NA|IL-SH-119|QUE000579	Roburoids	1
Quercus_canariensis|NA|NA|CA-DAV-MH52|QUE000325	Roburoids	1
Quercus_robur|England|NA|TUS13-008|QUE001514	Roburoids	1
Quercus_hartwissiana|Turkey|NA|2002.077|QUE001505	Roburoids	1
Quercus_robur_ssp._imeretina|Georgia|Samegrelo|TUS-IM13_JE|QUE001600	Roburoids	1
Quercus_aliena|NA|NA|DM40|QUE000923	Roburoids	1
Quercus_griffithii|Bhutan|NA|IL-SH-009|QUE000829	Roburoids	1
Quercus_fabri|China|Yunnan|IL-SH-141|QUE000814	Roburoids	1
Quercus_yunnanensis|NA|NA|DM41|QUE000924	Roburoids	1
Quercus_serrata|Japan|_Kanto|IL-MOR-MH225|QUE001059	Roburoids	1
Quercus_mongolica|China|Beijing_Shi|IL-MOR-MH106|QUE000148	Roburoids	1
Quercus_dentata|cultivated|NA|IL-MOR-MH208|QUE001007	Roburoids	1
Quercus_alba|USA|MI|IL-MOR-MH086|QUE000128	Albae	1
Quercus_michauxii|USA|MO|IL-MOR-MH001_|QUE000105	Albae	1
Quercus_montana|USA|NC|IL-SH-116|QUE000576	Albae	1
Quercus_bicolor|USA|NY|PM-96|QUE000756	Prinoids	1
Quercus_lyrata|USA|GA|IL-MOR-MH078_|QUE000120	Prinoids	1
Quercus_macrocarpa|USA|IL|IL-MOR-MH003_A.B|QUE000107	Prinoids	1
Quercus_muehlenbergii|USA|TX|CA-DAV-MH49|QUE000322	Prinoids	1
Quercus_prinoides|USA|NE|IL-SH-96|QUE000678	Prinoids	1
Quercus_pacifica|USA|CA|QUPA108|QUE000283	Dumosae	1
Quercus_dumosa|USA|CA|PM-141|QUE001114	Dumosae	1
Quercus_douglasii|USA|CA|CA-DAV-MH42|QUE000315	Dumosae	1
Quercus_john-tuckeri|USA|CA|PM-218|QUE001168	Dumosae	1
Quercus_cornelius-mulleri|USA|CA|235|QUE001014	Dumosae	1
Quercus_berberidifolia|USA|CA|PM-217|QUE001167	Dumosae	1
Quercus_durata|USA|CA|PM-1|QUE000682	Dumosae	1
Quercus_garryana|USA|OR|PM-215|QUE001165	Dumosae	1
Quercus_lobata|USA|CA|CA-DAV-MH63|QUE000336	Dumosae	1
Quercus_geminata|USA|FL|FLAB109|QUE000869	Virentes	1
Quercus_virginiana|USA|FL|FLBA140|QUE000876	Virentes	1
Quercus_minima|USA|FL|FLMO62|QUE000873	Virentes	1
Quercus_oleoides|Costa_Rica|NA|CRL0001|QUE000882	Virentes	1
Quercus_sagraeana|Cuba|NA|CUVN10|QUE000886	Virentes	1
Quercus_brandegeei|Mexico|Baja_CA_Sur|BJSL25|QUE000890	Virentes	1
Quercus_fusiformis|Mexico|Nuevo_Leon|MXGT4|QUE000892	Virentes	1
Quercus_pontica|Turkey|NA|IL-SH-167|QUE000601	Ponticae	1
Quercus_sadleriana|cultivated|NA|EMBG_2907|QUE000985	Ponticae	1
Quercus_chrysolepis|USA|CA|CA-DAV-MH20|QUE000293	Protobalanus	1
Quercus_vacciniifolia|USA|CA|CA-MH68|QUE000341	Protobalanus	1
Quercus_tomentella|USA|CA|PM-4|QUE000685	Protobalanus	1
Quercus_palmeri|cultivated|NA|CA-DAV-MH23|QUE000296	Protobalanus	1
Quercus_cedrosensis|USA|CA|PM-247|QUE001187	Protobalanus	1
